An 1858;;;;;;;
Mois;Semaines;;;;;Total mois;
Janvier;;;;;;;
Février;;;;;;;
Mars;;;;;;;
Avril;;;;;;;
Mai;;;;;;;
Juin;;;;;;;
Juillet;;;;;;;
Août;;;;;;;
Septembre;92.400,88;98.718,88;109.981,35;108.105,90;33.241,90;442.448,91;
Octobre;151.374,95;149.652,35;154.228,80;150.681,15;68.840,50;674.777,75;
Novembre;87.533,95;146.528,05;151.388,70;170.998,70;124.645,75;681.095,15;
Décembre;193.371,95;163.867,70;162.841,75;160.444,65;64.592,25;745.118,30;
Total an;524.681,73;558.766,98;578.440,60;590.230,40;291.320,40;2.543.440,11;
