An 1859 - Novembre,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,9192.2,22258.5,25651.5,24681.6,19746.7,,101530.5
Opéra-Comique,16095,25898,23415.5,17254.5,16969.5,,99632.5
Théâtre des Italiens,13948.7,22216.3,20530.1,20679.05,14511.75,,91885.9
Odéon,6510,12476.65,13739.75,13474.75,9036.75,,55237.9
Théâtre-Lyrique,8782,11510.6,15055.6,22422.35,20081,,77851.55
Vaudeville,6622,11746.5,12221,10960,6938.5,,48488
Théâtre des Variétés,6211.5,13357.49,14713,11994.5,8130.5,,54406.99
Gymnase,8733.75,11358,8631,8876,6532.25,,44131
Palais-Royal,6944.45,15297.6,12883.4,11425.45,9403,,55953.9
Porte Saint-Martin,16716.25,27234.25,22336.25,21483.21,13409.5,,101179.46
Gaîté,7138.3,19952.25,22442.25,14971.55,12556.5,,77060.85
Ambigu-Comique,9591.15,14030,9729.9,8498.25,9062.25,,50911.55
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,4969.65,6148.25,5299.25,7483.41,5536.75,,29437.31
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,3052,2508,1167,11266,8540,,26533
Folies Nouvelles,,,,,,,
Total,124506.95,215992.39,207815.5,205470.62,160454.95,,914240.41
