An 1859 - Février,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,8673.6,19244.5,19955.2,21384.8,11845.2,,81103.3
Opéra-Comique,13597,22368,21467.25,23519,7498.5,,88449.75
Théâtre des Italiens,14957,37359.1,30877.1,45428.8,11917.15,,140539.15
Odéon,2546.5,12010.75,10604,8626.25,4219,,38006.5
Théâtre-Lyrique,15848.5,9685.25,6517.25,5797.25,5439.5,,43287.75
Vaudeville,9272.5,16432.5,16522.7,17010.5,7906,,67144.2
Théâtre des Variétés,10145.5,15720.5,12748,11832.5,6185,,56631.5
Gymnase,,,,,,,
Palais-Royal,8558.5,22198,22005.75,20959.75,8523,,82245
Porte Saint-Martin,,,,,,,
Gaîté,,,,,,,
Ambigu-Comique,7984.5,12774.25,12558.6,9005.9,6456.65,,48779.9
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,5678.4,10328.35,8594.85,10078.45,4668.5,,39348.55
Délassement Comiques,3941.5,4208.7,5023.4,1280.75,,,14454.35
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,7877.5,13815.5,14542,14454.5,6317.5,,57007
Folies Nouvelles,2059.75,3735.25,6575,4383.22,667,,17420.22
Total,111140.75,199880.65,187991.1,193761.67,81643,,774417.17
