An 1859 - Juillet,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,662,3754.9,2533.6,2289.2,4593.8,,13833.5
Opéra-Comique,743.5,4016,3096,2604,5293.25,1200,16952.75
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,0,,,,,,
Vaudeville,481,1735,1818.5,1494.5,3344,895.3,9768.3
Théâtre des Variétés,123.5,871.5,1067.5,1584.5,2951.5,738,7336.5
Gymnase,405.5,1391,1284.25,1707.5,3760.25,696.5,9245
Palais-Royal,311.7,1552.1,1295.35,1976.8,3525.2,947.7,9608.85
Porte Saint-Martin,2104.5,6187.25,,,,,8291.75
Gaîté,265.75,1895,2097.75,2411,4116.6,1238,12024.1
Ambigu-Comique,1101,4123,3125.4,4945.6,5333.2,1307.75,19935.95
Théâtre Impérial du Cirque,,,,0,,,
Folies-Dramatiques,241,936.01,796.55,1894.55,3611.65,1006.85,8486.61
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,397,2323,1908,995.5,2594,1182.5,9400
Folies Nouvelles,,,,,,,
Total,6836.45,28784.76,19022.9,21903.15,39123.45,9212.6,124883.31
