An 1859 ,,,,,,,
Mois,Semaines,,,,,,Total mois
Janvier,214584.15,195494.91,200536.5,184641.86,94630.35,,889887.77
Février,111140.75,199880.65,187991.1,193761.67,81643,,774417.17
Mars,95832.58,206982.18,195703.3,182270.65,178713.3,,859502.01
Avril,25037.35,177902.1,192520.74,152238.9,190140.05,18399,756238.14
Mai,154909.35,112847.35,160541.9,141843.76,59855.05,,629997.41
Juin,50606.55,82797.45,81306.05,87353,36653.85,,338716.9
Juillet,6836.45,28784.76,19022.9,21903.15,39123.45,9212.6,124883.31
Août,23440.82,19428.45,80404.05,59530.1,61678.4,,244481.82
Septembre,30341.96,110377.1,137467.6,153326.26,138378.05,,569890.97
Octobre,158893.7,184311.99,194215.3,176520.6,80295.65,,794237.24
Novembre,124506.95,215992.39,207815.5,205470.62,160454.95,,914240.41
Décembre,59558.8,228686.1,210850.69,174818.9,266862.34,35872.9,976649.73
Total an,1055689.41,1763485.43,1868375.63,1733679.47,1388428.44,63484.5,7873142.88
