An 1862,,,,,,,,,,,,,
Théâtres,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total an
Opéra,,,,,,,,,,,,,
Théâtre Français,95229.4,95767.4,93413.9,47867,59796.9,53570.1,47833.8,53248.69,60912.8,85754.1,73651.3,122047.5,889092.89
Opéra-Comique,69253.5,88918.3,95426.004,78304.65,96179.75,101205.25,87696.05,78030.25,76557.25,122477.75,109941.5,111473.25,1115463.504
Théâtre des Italiens,106811.5,98541.95,159573.2,117316.05,,,,,,106161.78,141187.8,156992,886584.28
Odéon,28870.5,27869,23074.75,29965.1,20629,,,,19093,21685.25,27125,19859.6,218171.2
Théâtre-Lyrique,44977.8,42584.65,42158.5,62732.75,42153.75,,,,,4701,119555.5,107291.5,466155.45
Vaudeville,100040.1,65846,52799.5,34887.84,23494.4,17847,15746.5,33893,32381,43524,31768.5,34964,487191.84
Théâtre des Variétés,86685.5,53914.5,58999.09,45793.25,33747,42582,48740,44822.5,63521.5,59507.5,54355.5,62089,654757.34
Gymnase,68745.75,60914.75,59061,52459.25,33268.25,32319,24210,30364.75,44766,53611.5,97437.25,87426.5,644584
Palais-Royal,61393.9,54274.81,66861.85,45770.75,39153,31034.1,32592.95,47600.2,39477.9,83379.26,64775.37,56184.15,622498.24
Porte Saint-Martin,95488.5,,9428,5216.4,41011.5,16682.6,36023,62840,113849.5,162605,140744,123698.78,807587.28
Gaîté,97222.05,93297.25,59347.8,44701.05,44599.45,47382.5,33021.1,1581.35,81664.55,80112,107937,58963,749829.1
Ambigu-Comique,75211.75,92765.25,74348.75,45919.2,68132.5,43553.5,26305,52374.75,46086.5,38923.9,64838.25,48453.15,676912.5
Théâtre Impérial du Cirque,106099.75,37305.75,173417.6,132218.75,109307.15,82216.8,25348.5,89761,199793.5,125940.25,125573.45,86742.25,1293724.75
Folies-Dramatiques,16910,35565.95,32462.7,42441.75,14073.35,19106.45,10308.2,,,,,,170868.4
Délassement Comiques,,,,3319.5,,18510,9406,9418,8809,27521.5,22302.5,18393.5,117680
Luxembourg,,,,,,,,,,24888.5,,,24888.5
Beaumarchais,,,,,,,,,,10061.5,,,10061.5
Bouffes Parisiens,2042,23845,22867,8933,371,,,,,44229,62871,41648.51,206806.51
Folies Nouvelles,,,,3484.5,,,,,,,,,3484.5
Total,1054982,871410.56,1023239.644,801330.79,625917,506009.3,397231.1,503934.49,786912.5,1095083.79,1244063.92,1136226.69,10046341.784
