An 1863 Juin,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,8440.3,14429,17038.2,8758.3,5801.7,,54467.5
Opéra-Comique,10876,30195.25,25714.5,13209.75,7233.75,,87229.25
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,,,,,,,
Vaudeville,5884.5,11318,6489,2177.5,1723,,27592
Théâtre des Variétés,4552.5,9410,9154,3450,2823.5,,29390
Gymnase,4751.75,8391,6111.5,3445.25,2316,,25015.5
Palais-Royal,7722.45,13935.45,12359.85,6160.4,4957.65,,45135.8
Porte Saint-Martin,22247.25,30136.5,21588.5,12460,7000,,93432.25
Gaîté,5547,10158.75,7429,7282,4346.25,,34763
Ambigu-Comique,5458.25,10182.5,6285.5,4005,4884.75,,30816
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,6410.05,8195.6,7581.45,4006.5,3010.45,,29204.05
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,81890.05,146352.05,119751.5,64954.7,44097.05,,457045.35
