An 1866 - Septembre,,,,,,,
Teatri,Settimane,,,,,,Totale Mese
Opéra,,20669.68,26269.04,26067.25,30465.23,,103471.2
Théâtre Français,1131.5,8649,10994.5,13889.5,13126,1841,49631.5
Opéra-Comique,1409,14854.75,16062.75,16512,20234,3001,72073.5
Théâtre des Italiens,,,,,,,
Odéon,1593.95,5731.5,6596.75,6798.25,8496.25,1074.25,30290.95
Théâtre-Lyrique,2483.1,16354.2,21615.7,20576.7,21348.7,2908.6,85287
Vaudeville,,,,,,,
Théâtre des Variétés,,,,,,,
Gymnase,358.75,6156.25,5534.5,9435.25,5511.5,921.5,27917.75
Palais-Royal,2009,13415.5,12642.75,14510.5,10790.25,1309.5,54677.5
Porte Saint-Martin,,,,,,,
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,8985.3,85830.88,99715.99,107789.45,109971.93,11055.85,423349.4
