Théâtres,1866-08-05,1866-08-06,1866-08-07,1866-08-08,1866-08-09,1866-08-10,1866-08-11,5 - 11 août 
Opéra,,6168.13,,7338.66,,6785.99,,20292.78
Théâtre Français,1584,602.5,1003,705,1092.5,1018,485,6490
Opéra-Comique,4007,1336,1878,1719.5,1607,1890,1440,13877.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,2660.1,884.6,1518.1,811.1,1553.6,1159.1,1354.6,9941.2
Vaudeville,,,,,,,,
Théâtre des Variétés,1365,836.5,,496.5,,1044,646.5,4388.5
Gymnase,1759.25,777.5,,873.5,,1124,766.5,5300.75
Palais-Royal,1820,850,,1104,,1902.5,1210.25,6886.75
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,13195.35,11455.23,4399.1,13048.26,4253.1,14923.59,5902.85,67177.48
